rotten_tomatoes_link,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,release_year,streaming_release_year,release_month,streaming_month
m/10009469-the_other_man,Rotten,15.0,39.0,Spilled,18.0,4522.0,17,6,33,2008,2017,12,1
m/10009493-duchess,Fresh,62.0,170.0,Upright,67.0,68912.0,48,105,65,2008,2017,9,1
m/10009516-women,Rotten,14.0,148.0,Spilled,38.0,62045.0,44,20,128,2008,2010,9,11
m/10009526-public_enemies,Fresh,68.0,278.0,Spilled,59.0,633778.0,58,188,90,2009,2015,7,12
m/10009552-julia,Fresh,72.0,58.0,Upright,67.0,17308.0,20,42,16,2009,2013,5,11
m/1000957-angel_and_the_badman,Fresh,71.0,7.0,Upright,67.0,6982.0,0,5,2,1947,2016,2,6
m/10009583-fade_to_black,Rotten,29.0,7.0,Spilled,34.0,284.0,4,2,5,2006,2017,10,1
m/1000959-angel_heart,Fresh,79.0,29.0,Upright,81.0,30089.0,3,23,6,1987,2016,3,8
m/10009596-old_dogs,Rotten,5.0,110.0,Spilled,44.0,182900.0,35,6,104,2009,2016,11,7
m/10009598-surrogates,Rotten,37.0,116.0,Spilled,38.0,295050.0,27,43,73,2009,2016,9,8
m/10009624-promotion,Rotten,53.0,77.0,Spilled,28.0,84738.0,28,41,36,2008,2016,3,3
m/10009632-notorious,Rotten,52.0,146.0,Upright,65.0,97063.0,50,76,70,2009,2015,1,11
m/10009635-soul_men,Rotten,46.0,98.0,Spilled,58.0,54256.0,33,45,53,2008,2017,11,2
m/10009636-igor,Rotten,39.0,93.0,Spilled,38.0,82504.0,30,36,57,2008,2017,9,4
m/10009791-auteur,Fresh,67.0,6.0,Spilled,41.0,266.0,1,4,2,2008,2016,1,3
m/10009799-caller,Rotten,13.0,16.0,Spilled,19.0,334.0,6,2,14,2008,2009,9,4
m/10009823-sin_nombre,Fresh,88.0,120.0,Upright,89.0,21295.0,40,106,14,2009,2016,3,8
m/10009828-house_of_sleeping_beauties,Rotten,28.0,18.0,Spilled,17.0,173.0,7,5,13,2008,2009,11,4
m/10009890-stone_angel,Rotten,44.0,25.0,Spilled,58.0,3026.0,11,11,14,2007,2008,9,10
m/10009926-alvin_and_the_chipmunks_2,Rotten,20.0,84.0,Spilled,49.0,368619.0,30,17,67,2009,2015,12,11
m/10009929-a_christmas_tale,Fresh,86.0,132.0,Upright,66.0,23425.0,39,113,19,2008,2016,11,10
m/10009980-rebound,Rotten,41.0,27.0,Spilled,46.0,31189.0,3,11,16,2009,2013,2,9
m/1000_times_good_night,Fresh,71.0,55.0,Upright,65.0,1884.0,22,39,16,2014,2016,10,8
m/10010011-harold,Rotten,31.0,16.0,Spilled,41.0,793.0,6,5,11,2008,2017,7,1
m/10010066-push,Rotten,23.0,127.0,Spilled,42.0,2026452.0,31,29,98,2009,2015,2,12
m/10010077-felon,Fresh,63.0,24.0,Upright,82.0,13899.0,13,15,9,2008,2013,7,1
m/10010131-scar,Rotten,0.0,18.0,Spilled,11.0,689.0,7,0,18,2007,2016,5,11
m/10010150-unborn,Rotten,10.0,119.0,Spilled,30.0,831848.0,25,12,107,2009,2015,1,5
m/10010153-bitch_slap,Rotten,29.0,17.0,Spilled,29.0,10344.0,4,5,12,2010,2014,1,2
m/10010155-forever_strong,Rotten,29.0,21.0,Upright,75.0,9885.0,10,6,15,2008,2016,9,11
m/10010208-chocolate,Fresh,74.0,34.0,Upright,73.0,12249.0,11,25,9,2008,2017,2,3
m/10010214-fireproof,Rotten,38.0,21.0,Upright,82.0,39765.0,7,8,13,2008,2012,9,4
m/10010229-dostana,Fresh,87.0,15.0,Upright,68.0,4448.0,4,13,2,2008,2017,11,3
m/10010249-the_garden,Fresh,79.0,24.0,Upright,85.0,457.0,10,19,5,2008,2017,6,5
m/10010329-splinter,Fresh,73.0,37.0,Spilled,49.0,13218.0,16,27,10,2008,2015,10,3
m/10010334-leaves_of_grass,Fresh,61.0,38.0,Spilled,49.0,15345.0,15,23,15,2010,2017,4,1
m/10010458-proposal,Rotten,45.0,188.0,Upright,67.0,860325.0,47,84,104,2009,2015,6,11
m/10010552-gigantic,Rotten,36.0,83.0,Spilled,34.0,97063.0,27,30,53,2009,2017,4,5
m/10010571-hush,Rotten,50.0,8.0,Spilled,37.0,1587.0,2,4,4,2009,2016,2,11
m/1001063-anna_karenina,Fresh,93.0,14.0,Upright,69.0,3066.0,0,13,1,1935,2008,1,8
m/10010658-orphan,Rotten,56.0,154.0,Upright,63.0,872860.0,42,86,68,2009,2014,7,7
m/10010667-hangover,Fresh,78.0,239.0,Upright,84.0,943179.0,51,187,52,2009,2014,6,1
m/10010668-stepfather,Rotten,11.0,63.0,Spilled,35.0,982237.0,15,7,56,2009,2013,10,4
m/10010675-departures,Fresh,80.0,108.0,Upright,92.0,51962.0,37,86,22,2009,2016,5,12
m/10010694-season_of_the_witch,Rotten,11.0,124.0,Spilled,30.0,79868.0,30,14,110,2011,2011,1,6
m/10010703-shuttle,Rotten,50.0,22.0,Spilled,36.0,1554.0,7,11,11,2009,2016,3,3
m/10010760-miss_march,Rotten,5.0,80.0,Spilled,29.0,79384.0,21,4,76,2009,2015,3,11
m/10010782-american_affair,Rotten,16.0,37.0,Spilled,41.0,1722.0,17,6,31,2009,2016,2,8
m/10010785-grace,Fresh,71.0,31.0,Spilled,31.0,10269.0,4,22,9,2009,2017,8,3
m/10010787-endgame,Fresh,71.0,7.0,Spilled,57.0,662.0,2,5,2,2009,2015,11,3
m/10010789-red_baron,Rotten,20.0,25.0,Spilled,43.0,11070.0,9,5,20,2008,2014,3,8
m/10010919-objective,Rotten,33.0,12.0,Spilled,32.0,3690.0,3,4,8,2008,2016,4,4
m/10010940-happy_tears,Rotten,27.0,33.0,Spilled,21.0,1551.0,15,9,24,2010,2016,2,8
m/10010944-missing_person,Fresh,64.0,25.0,Spilled,44.0,6767.0,12,16,9,2009,2016,11,8
m/10010957-polanski_unauthorized,Rotten,0.0,6.0,Spilled,38.0,231.0,2,0,6,2009,2016,1,12
m/10010972-mammoth,Rotten,45.0,42.0,Upright,63.0,7007.0,19,19,23,2009,2016,11,11
